"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","78776","User logs in, adds Tea and Ghee products, and proceeds to checkout","","2026-05-23","passed","2026-05-23","","","",""
"","16494","Login With Invalid Mobile Number","","2026-05-23","passed","2026-05-23","","","",""
"","57758","Enter Invalid Card Details","","2026-05-23","passed","2026-05-23","","","",""
"","31750","Login With Invalid OTP","","2026-05-23","passed","2026-05-23","","","",""
"","49283","Search And Select Tea Product","","2026-05-23","passed","2026-05-23","","","",""
"","56367","Add And Delete Tea Product","","2026-05-23","passed","2026-05-23","","","",""
"","49103","Add Tea Product To Cart","","2026-05-23","passed","2026-05-23","","","",""
"","41402","Search Invalid Tea Product","","2026-05-23","passed","2026-05-23","","","",""
"","46422","Sort Ghee Products By Price Low To High","","2026-05-23","passed","2026-05-23","","","",""
